 num     #instances         #bytes  class name (module)
 250:           365          11680  java.lang.ref.WeakReference (java.base)
 251:           280          11200  org.spec.jbb.core.comm.transport.encryption.PooledJavaSecurityEncryptionLayer
 252:           276          11040  java.security.ProtectionDomain (java.base)
 253:           687          10992  java.util.concurrent.atomic.AtomicReference (java.base)
 254:           341          10912  jdk.internal.math.FDBigInteger (java.base)
 255:           272          10880  java.security.CodeSource (java.base)
 256:           667          10672  org.glassfish.grizzly.attributes.UnsafeAttributeHolder$IndexedAttributeAccessorImpl
 257:           444          10656  java.util.ImmutableCollections$Set12 (java.base)
 258:           436          10464  com.sun.xml.bind.v2.runtime.unmarshaller.ChildLoader
 259:            28          10304  java.lang.Thread (java.base)
 260:           642          10272  java.lang.ref.ReferenceQueue$Lock (java.base)
 261:           639          10224  org.spec.jbb.of.calculator.RandomShippingCostCalculator
 262:           639          10224  org.spec.jbb.of.tx.request.ShippingOrderProcessMessage
 263:           279           9832  [Ljava.lang.reflect.Field; (java.base)
 264:           404           9696  java.lang.module.ModuleDescriptor$Exports (java.base)
 265:           601           9616  java.util.concurrent.atomic.AtomicBoolean (java.base)
 266:           597           9552  org.glassfish.grizzly.ThreadCache$ObjectCache
 267:           298           9536  org.spec.jbb.sm.entity.InStorePickupOrder
 268:           590           9440  java.util.Collections$UnmodifiableSet (java.base)
 269:           190           9120  com.sun.xml.bind.v2.runtime.property.SingleElementNodeProperty
 270:           565           9040  java.nio.channels.spi.AbstractSelector$1 (java.base)
 271:           565           9040  sun.nio.ch.EventFD (java.base)
 272:           565           9040  sun.nio.ch.Util$2 (java.base)
 273:           564           9024  org.spec.jbb.core.comm.transport.EmptyLayer
 274:           279           8928  com.sun.xml.bind.v2.util.QNameMap
 275:           277           8864  java.util.RegularEnumSet (java.base)
 276:           359           8616  sun.reflect.annotation.AnnotationInvocationHandler (java.base)
 277:           177           8496  java.util.logging.LogManager$LoggerWeakRef (java.logging)
 278:           260           8320  jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl (java.base)
 279:           259           8288  sun.security.util.KnownOIDs (java.base)
 280:           340           8160  java.util.Collections$UnmodifiableRandomAccessList (java.base)
 281:           336           8064  com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl$RuntimePropertySeed
 282:           252           8064  com.sun.xml.bind.v2.runtime.LifecycleMethods
 283:           251           8032  jdk.internal.loader.NativeLibraries (java.base)
 284:           334           8016  com.sun.xml.bind.v2.model.impl.FieldPropertySeed
 285:           334           8016  com.sun.xml.bind.v2.runtime.reflect.Accessor$FieldReflection
 286:           500           8000  org.spec.jbb.hq.entity.Category
 287:           332           7968  com.sun.xml.bind.v2.model.impl.ElementPropertyInfoImpl$1
 288:           498           7968  org.spec.jbb.hq.tx.request.InstallmentPurchaseReceiptMessage
 289:           220           7040  java.lang.StringBuffer (java.base)
 290:           110           7040  java.net.URL (java.base)
 291:           293           7032  org.spec.jbb.of.tx.InStorePickupProcessTransaction
 292:           280           6720  org.spec.jbb.core.comm.transport.encapsulation.PooledJAXBEncapsulationLayer
 293:           204           6528  jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl (java.base)
 294:            74           6512  org.glassfish.grizzly.filterchain.FilterChainContext
 295:            54           6440  [Lorg.glassfish.grizzly.ThreadCache$ObjectCacheElement;
 296:             6           6240  [Ljava.util.concurrent.ForkJoinPool$WorkQueue; (java.base)
 297:           249           5976  org.spec.jbb.hq.tx.InstallmentPurchaseReceiptTransaction
 298:           246           5904  com.sun.xml.bind.v2.runtime.output.Encoded
 299:           252           5856  [Lcom.sun.xml.bind.v2.runtime.property.Property;
 300:           182           5824  [Lorg.glassfish.grizzly.filterchain.DefaultFilterChain$FilterStateElement;
 301:           240           5760  org.spec.jbb.sm.discount.PercentageDiscount
 302:           179           5728  java.lang.module.ModuleDescriptor$Requires (java.base)
 303:           234           5616  java.security.Provider$UString (java.base)
 304:            70           5600  java.net.URI (java.base)
 305:           224           5376  java.util.jar.Attributes$Name (java.base)
 306:           335           5360  java.util.LinkedHashMap$LinkedValues (java.base)
 307:           219           5328  [Ljavax.xml.namespace.QName; (java.xml)
 308:           220           5280  java.io.StringWriter (java.base)
 309:           130           5200  java.io.ObjectStreamClass$FieldReflector (java.base)
 310:           214           5136  com.sun.xml.bind.v2.runtime.property.TagAndType
 311:           159           5088  java.util.logging.LogManager$LogNode (java.logging)
 312:           157           5024  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki)
 313:            87           4872  java.util.logging.Logger (java.logging)
 314:           101           4848  org.spec.jbb.util.PositiveIntProperty
 315:           102           4840  [Ljava.lang.invoke.LambdaForm$Name; (java.base)
 316:           150           4800  java.lang.invoke.LambdaForm$NamedFunction (java.base)
 317:           118           4720  com.sun.xml.bind.v2.runtime.property.SingleElementLeafProperty
 318:           293           4688  org.spec.jbb.of.tx.request.InStorePickupProcessMessage
 319:           146           4672  java.lang.Package (java.base)
 320:            97           4656  java.lang.invoke.LambdaForm (java.base)
 321:           145           4640  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base)
 322:           193           4632  java.util.ImmutableCollections$List12 (java.base)
